Table,Loan Number
closed,L2WNTSPRG-231101465
closed,L2WUTSKNR-250610379
closed,L2WNAPWGV-231000924
closed,L3WRTSNLA-240204440
closed,L2WUTSKNR-250610388
closed,L3WNAPPKM-240203140
closed,L3WNTSKHM-230201920
closed,L3WNTSMBN-230600728
closed,L2WUAPANP-250104999
closed,L2WNKARCR-250410614
closed,L2WUTSNLA-240604596
closed,L2WUTSMBR-240910244
closed,L2WNAPKAD-241210057
closed,L2WNTSGDW-250810942
closed,L2WUTSNZB-241010617
closed,L2WNAPGTR-250310082
closed,L2WUTSNKD-250210144
closed,L3WNTSKHM-230101866
closed,L2WUTSKNR-250610371
closed,L2WNTSNLA-230603815
closed,L2WNAPSKM-231001001
closed,L2WNAPSKM-231001016
closed,L2WNKARCR-241010347
closed,L2WRAPKAD-240705961
closed,L3WUTSKNR-250610380
closed,L2WNTSKKT-231005962
closed,L3WNTSKHM-221001623
closed,L3WNTSSGR-230600619
closed,L2WNTSPRG-231001401
closed,L2WNAPKAD-231105462
closed,L2WNTSNZM-240270625
closed,L2WUAPANP-250310577
closed,L3WNTSNLA-240104390
closed,L2WUTSMBR-250510693
closed,L2WNAPEGV-240206448
closed,L2WNTSGDW-241110366
closed,L2WNAPKAD-250210136
closed,L2WUAPWGV-240801068
closed,L2WNTSPRG-231001385
closed,L2WUTSSEC-250412014
closed,L2WNTSNZB-240410045
closed,L2WNTSGDW-240410012
closed,L2WNTSNZB-240810394
closed,L2WNAPGTR-231101659
closed,L2WUTSSEC-250411997
closed,L2WNTSNZB-240410029
closed,L2WNAPKAD-231005283
closed,L2WNTSPRG-240410055
closed,L2WNAPWGV-250110403
closed,L2WUTSKNR-250510354
closed,L2WNAPWGV-251010928
closed,L3WNAPATP-230400332
closed,L3WRAPEGV-260307541
closed,L2WNTSNZB-240710297
closed,L2WNAPANP-240410044
closed,L2WNAPPKM-220601848
closed,L2WNTSNZM-240104937
closed,L3WNAPEGV-250307138
closed,L2WNTSWAN-231001123
closed,L2WNAPWGV-231071062
closed,L2WUTSKNR-250610378
closed,L3WNAPEGV-240306620
closed,L2WNAPWGV-231000916
closed,L2WUTSNZB-250411227
closed,L2WNAPWGV-231071069
closed,L2WUTSGDW-250410703
closed,L3WNAPVZG-240700580
closed,L3WNTSMBN-230400699
closed,L2WNTSKKT-230905841
closed,L2WNTSADB-241010212
closed,L2WUTSPRG-240410044
closed,L2WUAPEGV-241210759
closed,L2WNTSNLA-230303664
closed,L3WNTSATO-220701076
closed,L2WUTSNLG-240910052
closed,L2WNTSNZM-240204994
closed,L2WUTSKNR-230902920
closed,L2WUTSKNR-250710396
closed,L2WUTSMBR-250410657
closed,L3WNTSATO-221201256
closed,L3WNAPGTR-250102398
closed,L3WNTSKNR-240403369
closed,L2WNAPWGV-231171130
closed,L2WUAPKRN-241001400
closed,L2WNAPWGV-231000920
closed,L2WUTSNLA-240604599
closed,L3WNAPVJY-241002642
closed,L2WNAPPKM-240403197
closed,L2WUTSKNR-250510355
closed,L2WNAPKAD-240705969
closed,L2WNAPWGV-230971036
closed,L2WUTSADB-250410442
closed,L2WNAPEGV-240410031
closed,L3WNAPVZG-240700579
closed,L2WUTSKNR-250510364
closed,L3WNTSATO-230101272
closed,L3WRTSMBN-241001022
closed,L2WUTSNLA-250304927
closed,L2WNAPEGV-241010596
closed,L2WUTSSEC-250411983
closed,L3WNAPKAR-230400337
closed,L3WNTSATO-230101284
closed,L3WNTSKLY-241001515
closed,L2WUAPSKM-250101255
closed,L3WRAPVJY-250802975
closed,L3WNTSNLA-230403700
closed,L3WRTSNLA-250104894
closed,L3WNAPATP-230400337
closed,L2WNTSAMG-231101763
closed,L3WNTSMBN-230400697
closed,L2WNAPEGV-241010521
closed,L2WUTSMBR-250410651
closed,L2WUTSSEC-250211678
closed,L2WNAPEGV-230305582
closed,L2WUTSWGL-250410146
closed,L2WNTSPRG-241010280
closed,L3WNAPKAD-231005153
closed,L2WUAPANP-250104955
closed,L2WNTSADB-240410028
closed,L3WNAPVZG-240600572
closed,L3WNAPGTR-250302479
closed,L2WNTSPRG-241010284
closed,L2WNTSGDW-241010317
closed,L3WNTSPRG-230200906
closed,L2WNAPKAD-231105333
closed,L2WUAPANP-250410631
closed,L2WNAPVJY-221001490
closed,L3WNAPVZG-240500565
closed,L2WNTSPRG-240410039
closed,L2WUTSSEC-250211653
closed,L3WNAPEGV-241106927
closed,L3WNTSWGL-250710185
closed,L2WNKARCR-240710191
closed,L2WNTSNZB-241110660
closed,L2WUTSNZB-250411235
closed,L2WUKABLR-250310014
closed,L2WNTSSEC-250712368
closed,L2WUTSSEC-250512074
closed,L2WUTSKLY-241101548
closed,L2WNAPWGV-230600832
closed,L3WNTSSGR-230400581
closed,L2WNTSNLA-230603850
closed,L2WUTSSEC-250412012
closed,L2WUTSMBR-250410670
closed,L2WNAPWGV-240200986
closed,L2WUTSNLA-240704620
closed,L2WUTSADB-250510460
closed,L3WNTSWGL-240301407
closed,L2WUTSSEC-241211325
closed,L2WNKARCR-240510063
closed,L2WUTSSEC-250311883
closed,L2WNAPWGV-240410017
closed,L2WUTSWGL-240501451
closed,L2WUTSSEC-250411950
closed,L3WNTSPRG-230200905
closed,L2WNAPANP-231004277
closed,L2WNTSNZB-241010573
closed,L2WNTSGDW-231003938
closed,L2WUTSSEC-250412043
closed,L2WNTSMBR-231003921
closed,L2WUTSSEC-250411947
closed,L2WNAPEGV-240910443
closed,L3WNTSSGR-230300568
closed,L3WNAPPKM-250303318
closed,L2WUKARCR-250110518
closed,L3WUAPVZG-230600431
closed,L2WNTSAMG-231101762
closed,L2WUTSMBR-250510678
closed,L2WNAPEGV-231006052
closed,L3WNAPVJY-241102684
closed,L2WUTSMBR-230103198
closed,L2WUTSKNR-250610377
closed,L2WUTSSEC-250211690
closed,L2WNTSNZB-250411249
closed,L2WUAPPKM-241110063
closed,L2WUTSSEC-250111542
closed,L2WNTSADB-240410023
closed,L3WNAPVJY-250102748
closed,L2WNTSWAN-231001137
closed,L2WNTSAMG-231101777
closed,L2WUTSSEC-250411939
closed,L2WNTSKNR-240303290
closed,L2WUTSKNR-250610384
closed,L3WNTSNLA-230403715
closed,L2WNAPANP-231104324
closed,L2WNAPEGV-231006059
closed,L2WNAPEGV-240410030
closed,L2WNTSKKT-230705648
closed,L2WUKARCR-240810238
closed,L2WNAPPKM-230802791
closed,L2WNTSGDW-241010319
closed,L2WNTSNLA-231004201
closed,L2WNTSBDN-180500004
closed,L2WUAPANP-231104374
closed,L2WNAPWGV-231000910
closed,L2WNAPANP-231004209
closed,L2WUTSSEC-250311737
closed,L2WNTSGDW-231003966
closed,L3WNTSZHB-230400247
closed,L2WNAPEGV-230805882
closed,L2WUTSSEC-250512114
closed,L2WUAPANP-250410638
closed,L2WUAPANP-241004871
closed,L2WUAPKRN-230300854
closed,L2WNTSGDW-250310631
closed,L2WUTSSEC-250411987
closed,L2WNTSGDW-231003881
closed,L2WUTSKNR-250510363
closed,L2WNAPEGV-241210738
closed,L2WNTSAMG-250210191
closed,L2WNAPVJY-230602056
closed,L3WNTSSDP-230600320
closed,L2WNTSADB-240510067
closed,L3WNTSMBN-230400702
closed,L3WNTSMBN-230300678
closed,L2WNAPWGV-240410022
closed,L2WUTSSEC-241211322
closed,L2WNAPEGV-230671490
closed,L2WNTSMBR-241004365
closed,L2WNAPKAD-250710243
closed,L2WUAPEGV-240610185
closed,L2WUTSWGL-240610010
closed,L3WNTSNKD-230300835
closed,L2WNKARCR-240300002
closed,L2WUTSMBR-250310579
closed,L2WNKARCR-240410028
closed,L2WNTSPRG-260211144
closed,L2WNAPKAD-251210371
closed,L2WNTSNLA-221003171
closed,L2WNAPANP-240410038
closed,L2WNTSPRG-240410056
closed,L2WUTSSEC-250411932
closed,L2WNTSNZM-231004704
closed,L2WUTSSEC-250411990
closed,L3WNTSATO-230101277
closed,L2WNAPVJY-230902290
closed,L2WNTSMBR-231003917
closed,L2WNAPSKM-231001013
closed,L2WNKARCR-250410653
closed,L2WUAPEGV-250110791
closed,L2WNKARCR-240300009
closed,L3WNTSGDW-250304418
closed,L2WNAPPKM-231002936
closed,L2WNTSMBR-240410019
closed,L3WRTSSGR-260200747
